Processing: C:\Users\Yong\Downloads\Learnova A Levels\AL-BIOLOGY.pdf
Subject: AL-Biology  Form: AS-A2  Pages: 10-658 of 658
  p365/658  SAVED  Chapter 8: Homeostasis | Excretion
  p366/658  SAVED  Chapter 8: Excretion and the Kidneys | Kidney structure
  p367/658  SAVED  Chapter 14: Homeostasis | Structure of the kidney and nephron
  p368/658  SAVED  Chapter 8: Excretion and the kidney | Structure of a nephron
  p369/658  SAVED  Chapter 14: Homeostasis | Ultrafiltration
  p370/658  SAVED  Chapter 8: To Remind | Ultrafiltration in the Glomerulus
  p371/658  SAVED  Chapter 14: Homeostasis | Reabsorption in the nephron
  p372/658  SAVED  Chapter 8: The Kidney | 
  p373/658  SAVED  Chapter 4: Homeostasis | Reabsorption in the distal convoluted tubule and collecting duct
  p374/658  SAVED  Chapter 14: Homeostasis | 14.3 Control of water content
  p375/658  SAVED  Chapter 14: Homeostasis | Osmoregulation and the role of ADH
  p376/658  SAVED  Chapter 4: Cell signalling | Section 4.4: Cell signalling ? ADH and water reabsorption
  p377/658  SAVED  Chapter 14: Homeostasis | Control of blood water potential
  p378/658  SAVED  Chapter 14: Homeostasis | 14.4 The control of blood glucose
  p379/658  SAVED  Chapter 14: Homeostasis | Negative feedback control of blood glucose concentration
  p380/658  SAVED  Chapter 4: Cell Membranes and Signalling | Control of Blood Glucose Concentration
  p381/658  SAVED  Chapter 14: Homeostasis | Control of blood glucose concentration
  p382/658  SAVED  Chapter 4: Homeostasis and the Control of Blood Glucose | Control of blood glucose concentration
  p383/658  SAVED  Chapter 14: Homeostasis | 14.2 Control of blood glucose concentration
  p384/658  SAVED  Chapter 14: Control and Coordination | Biosensors
  p385/658  SAVED  Chapter 14: Homeostasis | 14.5 Homeostasis in plants
  p386/658  SAVED  Chapter 14: Transport in Plants | Opening and closing of stomata
  p387/658  SAVED  Chapter 14: Homeostasis | Stomatal aperture regulation
  p388/658  SAVED  Chapter 14: Transport in Plants | Stomatal Opening and Closing
  p389/658  SAVED  Chapter 14: Homeostasis | Stomatal closure and abscisic acid
  p390/658  SAVED  Chapter 1: to make large, labelled diagrams | 
  p391/658  SAVED  Chapter 14: Homeostasis | Control of Blood Glucose Concentration
  p392/658  SAVED  Chapter 1: to make large, labelled diagrams | 
  p393/658  SKIP  Page contains only exam-style questions and copyright artifacts, no explanatory content.
  p394/658  SKIP  Page contains only exam-style review questions, no concept explanation or teaching content.
  p395/658  SAVED  Chapter 1: to make large, labelled diagrams | Homeostasis
  p396/658  SAVED  Chapter 1: to make large, labelled diagrams | Control of blood glucose
  p397/658  SAVED  Chapter 14: Homeostasis | Control of Blood Glucose
  p398/658  SAVED  Chapter 1: to make large, labelled diagrams | Abscisic acid (ABA) and its behaviour in chloroplasts
  p399/658  SKIP  Page contains only a self-evaluation checklist, no teachable content.
  p400/658  SKIP  Page contains only learning intentions, no teachable content.
  p401/658  SKIP  Page contains only learning objectives, a review activity, and a non-syllabus psychology discussion; no teachable content for A Level Biology.
  p402/658  SAVED  Chapter 14: Communication and Coordination | 
  p403/658  SAVED  Chapter 15: Control and coordination | 15.2 Nervous communication
  p404/658  SAVED  Chapter 14: About | Motor Neurones
  p405/658  SAVED  Chapter 15: Control and coordination | 
  p406/658  SAVED  Chapter 14: Coordination | How neurones work together
  p407/658  SAVED  Chapter 15: Control and coordination | Resting potential
  p408/658  SAVED  Chapter 4: The Phospholipid Bilayer and Hydrolysis of ATP | Measuring the Resting Potential
  p409/658  SAVED  Chapter 15: Control and coordination | Action potentials and voltage-gated channels
  p410/658  SAVED  Chapter 4: that the phospholipid bilayer hasReview hydrolysis of ATP | Action potentials
  p411/658  SAVED  Chapter 15: Control and coordination | How action potentials carry information
  p412/658  SAVED  Chapter 15: Control and Coordination | 
  p413/658  SAVED  Chapter 15: Control and coordination | Transmission of action potentials in myelinated axons
  p414/658  SAVED  Chapter 15: Receptors | Types of Receptors and Taste Buds
  p415/658  SAVED  Chapter 15: Control and coordination | Sensory receptors and the all-or-none law
  p416/658  SAVED  Chapter 4: Cell membranes and transport | Receptor potential and impulse generation
  p417/658  SAVED  Chapter 15: Control and Coordination | Synaptic Transmission
  p418/658  SAVED  Chapter 4: Cell Membranes and Transport | Synaptic Transmission
  p419/658  SAVED  Chapter 15: Control and coordination | Synapses and the neuromuscular junction
  p420/658  SAVED  Chapter 15: Coordination and Muscle | Synaptic Integration and Smooth Muscle
  p421/658  SAVED  Chapter 15: Control and coordination | Types of muscle
  p422/658  SAVED  Chapter 15: Control and coordination | Muscle structure and ultrastructure
  p423/658  SAVED  Chapter 15: Control and coordination | Muscle contraction: sarcomere structure
  p424/658  SAVED  Chapter 15: Muscle Contraction | Structure of Thick and Thin Filaments
  p425/658  SAVED  Chapter 15: Control and coordination | Sliding filament model of muscle contraction
  p426/658  SAVED  Chapter 15: Nervous coordination and muscle contraction | The sliding filament model
  p427/658  SAVED  Chapter 12: Plants | 15.4 Control and coordination
  p428/658  SAVED  Chapter 12: Plants | Adaptations for Nutrition: Carnivorous Plants
  p429/658  SAVED  Chapter 15: Control and Coordination | Chemical Communication in Plants
  p430/658  SAVED  Chapter 16: Section 16.7 - Genes, proteins and phenotype | 
  p431/658  SAVED  Chapter 16: Genes, proteins | Gibberellin action in barley seeds
  p432/658  SKIP  Page contains summary and reflection prompts, no new teachable content.
  p433/658  SAVED  Chapter 15: Control and coordination | 
  p434/658  SAVED  Chapter 15: Homeostasis | Hormonal control of blood glucose and water balance
  p435/658  SAVED  Chapter 15: Control and coordination | Myelinated neurones and sensory receptors
  p436/658  SAVED  Chapter 15: Control and Coordination | Sensory Reception: Pacinian Corpuscle
  p437/658  SAVED  Chapter 15: Control and coordination | Cholinergic synapses
  p438/658  SAVED  Chapter 15: Muscle Contraction | Sarcomere Structure and the Sliding Filament Mechanism
  p439/658  SAVED  Chapter 15: Control and coordination | Plant growth regulators
  p440/658  SKIP  The page contains only a self-evaluation checklist of learning objectives, not explanatory content that can be structured into a teaching unit.
  p441/658  SKIP  Page contains only learning intentions, not teachable content.
  p442/658  SAVED  Chapter 16: Genetics and Inheritance | 
  p443/658  SAVED  Chapter 16: Inheritance | Haploid and diploid cells
  p444/658  SAVED  Chapter 16: Sexual Reproduction and Meiosis | Meiosis I: Prophase I - Bivalent Formation and Crossing Over
  p445/658  SAVED  Chapter 5: Mitosis and Meiosis | Meiosis I
  p446/658  SAVED  Chapter 16: Meiosis | Meiosis I and II Overview
  p447/658  SAVED  Chapter 16: Inheritance | 16.2 The production of genetic variation
  p448/658  SAVED  Chapter 5: Meiosis and Genetic Variation | Genetic variation arising from crossing over
  p449/658  SAVED  Chapter 16: Inheritance | Genetic variation from independent assortment and random fertilisation
  p450/658  SAVED  Chapter 16: Inheritance | Sources of genetic variation
  p451/658  SAVED  Chapter 16: Inheritance | 16.4 Monohybrid inheritance and genetic diagrams
  p452/658  SAVED  Chapter 5: Mitosis and Genetic Continuity | Genetic Diagrams for Monohybrid Crosses
  p453/658  SAVED  Chapter 16: Inheritance | Monohybrid Crosses and Genetic Diagrams
  p454/658  SAVED  Chapter 16: Inherited Change | Sex-linkage
  p455/658  SAVED  Chapter 16: Inheritance | Sex-linked inheritance
  p456/658  SAVED  Chapter 5: Genetic inheritance | Dihybrid inheritance
  p457/658  SAVED  Chapter 16: Inheritance | Dihybrid Inheritance
  p458/658  SAVED  Chapter 5: Genetic Inheritance | Dihybrid Crosses
  p459/658  SAVED  Chapter 16: Inheritance | Epistasis
  p460/658  SAVED  Chapter 5: Mitosis | Genetic Diagrams for Linked Genes
  p461/658  SAVED  Chapter 16: Inheritance | Autosomal linkage and crossing over
  p462/658  SAVED  Chapter 5: Mitosis and Genetic Inheritance | Genetic Linkage and Crossing Over
  p463/658  SAVED  Chapter 16: Inheritance | Dihybrid inheritance and test crosses
  p464/658  SAVED  Chapter 16: Inheritance | The chi-squared test
  p465/658  SAVED  Chapter 16: Inheritance | The chi-squared (?2) test
  p466/658  SAVED  Chapter 16: Inheritance and Genetic Diseases | Genetic disorders resulting from gene mutations
  p467/658  SAVED  Chapter 16: Inheritance | 16.8 Control of gene expression
  p468/658  SAVED  Chapter 5: Mitosis and Cell Division | Gene Regulation in Prokaryotes
  p469/658  SAVED  Chapter 16: Inheritance | The lac operon and transcription factors
  p470/658  SAVED  Chapter 16: Control and regulation | Transcription factors and hormone action in plants
  p471/658  SAVED  Chapter 16: Inheritance | 
  p472/658  SKIP  Page is a review summary and exam-style questions, no new concept to teach.
  p473/658  SAVED  Chapter 16: Inheritance | Dihybrid inheritance and chi-squared test
  p474/658  SAVED  Chapter 16: Review | Chi-squared test
  p475/658  SKIP  Page contains only exam-style questions, no explanatory content suitable for a teaching unit.
  p476/658  SKIP  Page contains only a self-evaluation checklist with learning objectives, no explanatory content to teach a concept.
  p477/658  SKIP  Page contains only learning intentions, no teachable content.
  p478/658  SAVED  Chapter 17: Selection and Evolution | Coevolution
  p479/658  SAVED  Chapter 17: Selection and evolution | 17.1 Variation
  p480/658  SAVED  Chapter 17: Variation | The genetic basis of continuous and discontinuous variation
  p481/658  SAVED  Chapter 17: Selection and evolution | Types of variation
  p482/658  SAVED  Chapter 16: Inheritance and Variation | Polygenic Inheritance and Continuous Variation
  p483/658  SAVED  Chapter 17: Selection and evolution | 17.2 Natural selection
  p484/658  SAVED  Chapter 16: Selection and Evolution | Selection pressures and survival
  p485/658  SAVED  Chapter 17: Selection and Evolution | Types of selection
  p486/658  SAVED  Chapter 10: Natural Selection | Types of selection and mutation
  p487/658  SAVED  Chapter 17: Selection and evolution | Antibiotic resistance in bacteria
  p488/658  SAVED  Chapter 17: Evolution | 17.3 Genetic drift and the founder effect
  p489/658  SAVED  Chapter 10: Selection and Evolution | Selection and evolution
  p490/658  SAVED  Chapter 10: (Section 10.2) | Genetic drift: founder effect and bottleneck effect
  p491/658  SAVED  Chapter 10: Selection and evolution | Hardy?Weinberg principle
  p492/658  SAVED  Chapter 10: Section 10.2 (Artificial Selection) | Artificial Selection
  p493/658  SAVED  Chapter 17: Selection and evolution | Inbreeding and hybridisation in maize
  p494/658  SAVED  Chapter 10: Inheritance and Variation | 10.2 Outbreeding and hybrid vigour
  p495/658  SAVED  Chapter 10: Selection and Evolution | Artificial Selection
  p496/658  SAVED  Chapter 18: Classification | 18.1 Classification
  p497/658  SAVED  Chapter 18: Classification (Section 18.1) | Speciation and Reproductive Isolation
  p498/658  SAVED  Chapter 18: Classification | Section 18.1: Speciation
  p499/658  SAVED  Chapter 17: Selection and Evolution | 
  p500/658  SAVED  Chapter 18: Classification | Classification
  p501/658  SAVED  Chapter 18: Classification | Section 18.1: Classification
  p502/658  SAVED  Chapter 17: Selection and Evolution | Summary
  p503/658  SAVED  Chapter 17: Selection and evolution | 
  p504/658  SAVED  Chapter 17: Selection and Evolution | Comparing Artificial and Natural Selection
  p505/658  SAVED  Chapter 17: Selection and evolution | Artificial selection
  p506/658  SKIP  Page contains only assessment questions, no explanatory content to structure as a teaching unit.
  p507/658  SAVED  Chapter 17: Selection and evolution | Speciation
  p508/658  SKIP  Page contains only self-evaluation checklist, no new teaching content.
  p509/658  SKIP  Page contains only learning intentions, no explanatory content.
  p510/658  SAVED  Chapter 18: Biodiversity and Conservation | 
  p511/658  SAVED  Chapter 18: Classification, biodiversity and conservation | The species concept
  p512/658  SAVED  Chapter 18: Classification | Principles of Classification
  p513/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Three domains
  p514/658  SAVED  Chapter 18: Classification and Biodiversity | Prokaryotes: Bacteria and Archaea
  p515/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Kingdom Protoctista
  p516/658  SAVED  Chapter 18: Classification and Biodiversity | Kingdom Fungi
  p517/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Kingdom Plantae
  p518/658  SAVED  Chapter 18: Classification | Kingdom Animalia
  p519/658  SAVED  Chapter 19: Genetic Technology | Viruses
  p520/658  SAVED  Chapter 19: Genetic control | Classification of viruses
  p521/658  SAVED  Chapter 18: Classification, biodiversity and conservation | 18.2 Biodiversity
  p522/658  SAVED  Chapter 19: Ecosystems and Energy | Species diversity
  p523/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Genetic diversity
  p524/658  SAVED  Chapter 18: Biodiversity, classification and conservation | Assessing species diversity
  p525/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Random sampling using quadrats
  p526/658  SAVED  Chapter 19: Populations and ecosystems | Measuring species abundance
  p527/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Sampling techniques: quadrats and mark-release-recapture
  p528/658  SAVED  Chapter 19: Biodiversity and Conservation | Simpson's index of diversity
  p529/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Biodiversity
  p530/658  SAVED  Chapter 18: Biodiversity, classification and conservation | Sampling with transects
  p531/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Sampling and abundance
  p532/658  SAVED  Chapter 19: Biodiversity and Conservation | Simpson's Index of Diversity
  p533/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Spearman's rank correlation
  p534/658  SAVED  Chapter 19: Data Analysis | Spearman's Rank Correlation Coefficient
  p535/658  SAVED  Chapter 18: Classification, biodiversity and conservation | 18.3 Maintaining biodiversity
  p536/658  SAVED  Chapter 19: Biodiversity | Reasons for maintaining biodiversity
  p537/658  SAVED  Chapter 18: Classification, biodiversity and conservation | 
  p538/658  SAVED  Chapter 19: Genetic Technology | 18.4 Protecting endangered species
  p539/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Management of national parks and zoos
  p540/658  SAVED  Chapter 19: Biodiversity and conservation | Captive breeding and reintroduction
  p541/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Ex situ conservation of animals
  p542/658  SAVED  Chapter 19: Biodiversity and Conservation | Seed banks
  p543/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Seed banks and ex situ conservation
  p544/658  SAVED  Chapter 18: Biodiversity and Conservation | 18.5 Controlling alien species
  p545/658  SAVED  Chapter 18: Classification, biodiversity and conservation | 18.6 International conservation
  p546/658  SAVED  Chapter 18: Biodiversity and Conservation | CITES
  p547/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Summary
  p548/658  SAVED  Chapter 18: Biodiversity and Conservation | Conservation strategies
  p549/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Estimating plant abundance using quadrats
  p550/658  SAVED  Chapter 18: Ecology and Biodiversity | Practical investigation: Spearman's rank correlation
  p551/658  SAVED  Chapter 18: Classification, biodiversity and conservation | Indicator Species and Statistical Correlation
  p552/658  SAVED  Chapter 18: Biodiversity and Classification | Sampling techniques and data analysis
  p553/658  SKIP  Page contains only exam-style questions, no explanatory content.
  p554/658  SKIP  Page contains exam questions only, no explanatory content.
  p555/658  SKIP  Page contains a self-evaluation checklist, not explanatory content.
  p556/658  SKIP  Page contains only chapter learning intentions, no specific concept explanation.
  p557/658  SAVED  Chapter 19: Genetic technology | Fighting crime with DNA
  p558/658  SAVED  Chapter 19: Genetic Technology | 19.1 Genetic engineering
  p559/658  SAVED  Chapter 19: Genetic technology | 19.2 Tools for the gene technologist
  p560/658  SAVED  Chapter 19: Genetic Technology | Restriction Endonucleases
  p561/658  SAVED  Chapter 19: Genetic technology | cDNA synthesis
  p562/658  SAVED  Chapter 19: Genetic Technology | Plasmids as vectors
  p563/658  SAVED  Chapter 19: Genetic technology | Identifying bacteria with recombinant DNA
  p564/658  SAVED  Chapter 19: Genetic Technology | Isolation of human gene and preparation of vector
  p565/658  SAVED  Chapter 19: Genetic technology | Genetic markers
  p566/658  SAVED  Chapter 16: Genetic Technology | Recombinant DNA Technology
  p567/658  SAVED  Chapter 16: Genetic Technology | CRISPR/Cas9 Gene Editing
  p568/658  SAVED  Chapter 16: H | Crispr/Cas9
  p569/658  SAVED  Chapter 19: Genetic technology | 19.4 Separating and amplifying DNA
  p570/658  SAVED  Chapter 16: H | Polymerase Chain Reaction (PCR)
  p571/658  SAVED  Chapter 19: Genetic technology | Gel electrophoresis
  p572/658  SAVED  Chapter 16: H | Genetic Profiling
  p573/658  SAVED  Chapter 19: Genetic technology | DNA profiling: minisatellites and short tandem repeats
  p574/658  SAVED  Chapter 16: DNA Analysis and Microarrays | Microarrays
  p575/658  SAVED  Chapter 19: Genetic technology | Microarrays
  p576/658  SAVED  Chapter 16: Gene Expression and Microarray Technology | Investigating gene expression using microarrays
  p577/658  SAVED  Chapter 19: Genetic Technology | 
  p578/658  SAVED  Chapter 16: Genetic Technology | 19.6 Genetic technology and medicine
  p579/658  SAVED  Chapter 19: Genetic technology | Gene mutations in cystic fibrosis
  p580/658  SAVED  Chapter 19: Genetic Technology | Prenatal diagnosis and genetic screening
  p581/658  SAVED  Chapter 19: Genetic technology | 
  p582/658  SAVED  Chapter 16: Gene Technology | Gene therapy for ADA-SCID
  p583/658  SAVED  Chapter 16: Genetic Technology | Gene Therapy and Pre-implantation Genetic Diagnosis
  p584/658  SAVED  Chapter 19: Genetic Technology | 19.6 Gene therapy and its limits
  p585/658  SAVED  Chapter 19: Genetic Technology | Insect-resistant crops
  p586/658  SAVED  Chapter 19: Genetic Technology | Genetically Modified Animals for Food Production
  p587/658  SAVED  Chapter 19: Genetic technology | 
  p588/658  SAVED  Chapter 19: Genetic Technology | Summary
  p589/658  SAVED  Chapter 19: Genetic technology | 
  p590/658  SKIP  Page contains only exam-style questions without explanatory content or teaching material.
  p591/658  SAVED  Chapter 19: Genetic technology | 
  p592/658  SAVED  Chapter 19: Selection and Evolution | Evolution of insecticide resistance
  p593/658  SAVED  Chapter 19: Genetic technology | Genetic engineering of plants
  p594/658  SKIP  Page contains only practice questions and a self-evaluation checklist, no explanatory content to structure into a teaching unit.
  p595/658  SAVED  Chapter 19: Practical Skills for A Level | Learning Intentions: Planning Investigations
  p596/658  SKIP  Page contains only learning objectives and syllabus references, with no detailed explanation of a specific biological concept or worked example.
  p597/658  SAVED  Chapter 19: Practical Skills for A Level Biology | Formulating Hypotheses and Predictions
  p598/658  SAVED  Chapter 19: Experimental Design and Quantitative Methods | 
  p599/658  SAVED  Chapter 19: Practical Skills for A Level | Determining the dependent variable and identifying types of data
  p600/658  SAVED  Chapter 19: Genetic Technology | P2.5 Describing the data
  p601/658  SAVED  Chapter 19: Practical Skills for A Level | P2.7 Recording and displaying results
  p602/658  SAVED  Chapter 19: Data analysis and statistics | Normal distribution and standard deviation
  p603/658  SAVED  Chapter 19: Practical Skills for A Level | Standard Deviation
  p604/658  SAVED  Chapter 19: Genetic Technology | Calculating Standard Deviation
  p605/658  SAVED  Chapter 19: Practical Skills for A Level | Standard Error and Confidence Intervals
  p606/658  SAVED  Chapter 19: Statistical Analysis | 
  p607/658  SAVED  Chapter 19: Practical Skills for A Level | The t-test in biological data analysis
  p608/658  SAVED  Chapter 16: (Section) | 
  p609/658  SAVED  Chapter 16: Statistical Analysis in Biology | Practical skills for A Level: Pearson's Linear Correlation
  p610/658  SAVED  Chapter 16: Correlation and Sampling | Correlation Coefficients in Ecology
  p611/658  SAVED  Chapter 16: Practical Skills for A Level | Spearman's rank correlation coefficient
  p612/658  SAVED  Chapter 16: Data Analysis and Statistics | 
  p613/658  SAVED  Chapter 16: Practical Skills for A Level Biology | Statistical Tests
  p614/658  SAVED  Chapter 16: (Section | P2.9 Evaluating evidence and P2.10 Conclusions and discussion
  p615/658  SKIP  Page contains a reflection activity and summary of multiple practical skills topics, not a focused conceptual teaching unit.
  p616/658  SKIP  Page contains only exam-style questions, no explanatory content for teaching.
  p617/658  SAVED  Chapter 16: Practical Skills for A Level | P2: Statistical Analysis of Ecological Data
  p618/658  SAVED  Chapter 16: Plant Adaptations and Responses | Leaf Adaptations to Light
  p619/658  SAVED  Chapter 16: Practical Skills for A Level | Statistical Analysis: The t-test
  p620/658  SAVED  Chapter 16: Transport in Plants | Investigating water loss in leaves
  p621/658  SKIP  Page contains a self-evaluation checklist for practical skills, not teachable content for a concept explanation.
  p622/658  SKIP  Page is a reference list of amino acid structures without explanatory text; not suitable as a standalone teaching unit.
  p623/658  SKIP  Page contains only a reference table (genetic code) with no explanatory text or teaching content.
  p624/658  SAVED  Chapter 16: Gene Expression and Protein Synthesis | The Genetic Code
  p625/658  SKIP  Page contains glossary of exam command words, not biology content.
  p626/658  SKIP  Page contains glossary definitions, not a teachable concept.
  p627/658  SKIP  Page is a glossary listing terms, not a teaching unit.
  p628/658  SKIP  The page contains an unstructured glossary of multiple unrelated biology terms, not a cohesive teaching unit.
  p629/658  SKIP  Page contains only glossary definitions, no teachable content.
  p630/658  SKIP  Page contains glossary definitions, not a teachable concept.
  p631/658  SKIP  Page is a glossary of terms with no single teachable concept or explanation.
  p632/658  SKIP  The page contains only a glossary of terms with no cohesive teaching unit or concept explanation.
  p633/658  SKIP  The extracted text is a glossary page listing multiple unrelated terms and definitions, not a coherent teaching unit or section from a chapter.
  p634/658  SKIP  The page contains only a glossary of terms with definitions, not a structured teaching unit or coherent concept explanation.
  p635/658  SKIP  The page is a glossary of terms from Chapter 16, not a cohesive teaching unit.
  p636/658  SKIP  Page contains a glossary of unrelated terms, not a coherent teaching unit.
  p637/658  SKIP  Page contains only glossary terms and definitions, no instructional content.
  p638/658  SKIP  Page contains a glossary of terms, not a structured teaching unit with concept explanation or examples.
  p639/658  SKIP  Page contains only a glossary of terms, not teachable content for a structured teaching unit.
  p640/658  SKIP  Page is a glossary of terms, not a coherent teaching unit.
  p641/658  SKIP  Page contains a general glossary of terms, not a specific teaching unit or subtopic.
  p642/658  SKIP  Page is a glossary listing biological terms with definitions; no coherent teaching content or explanation.
  p643/658  SKIP  Page is a glossary index, not a teaching section.
  p644/658  SKIP  Page contains only glossary definitions with no coherent subtopic or teaching content.
  p645/658  SKIP  The page is an index listing of terms and page numbers, not teachable content for a subtopic.
  p646/658  SKIP  The page content is an index of terms and page numbers, not a coherent teaching unit with explanation or examples.
  p647/658  SKIP  Extracted text is an index, not lesson content.
  p648/658  SKIP  The page contains only an index of terms with page numbers, not teachable content.
  p649/658  SKIP  Page is an index, not teachable content.
  p650/658  SKIP  Page contains only index entries, no teachable content.
  p651/658  SKIP  Page contains only an index, no teachable content.
  p652/658  SKIP  The page is an index listing keywords and page numbers, not a teaching unit.
  p653/658  SKIP  The page contains an index of terms and page numbers, not teachable content.
  p654/658  SKIP  Index page with no teachable content.
  p655/658  SKIP  Page contains only an index with no teachable content.
  p656/658  SKIP  Page is an index/glossary, no teachable content.
  p657/658  SKIP  The page contains only acknowledgements and image credits, with no teachable biology content.
  p658/658  SKIP  Page contains only image credits and publisher information, no teachable content.
------------------------------------------------------------
DONE: 536 saved, 113 skipped, 0 errors
Backup: C:\Learnova\AL-Biology_FAS-A2_results.json
DONE: 536 saved, 113 skipped, 0 errors
