Processing: C:\Users\Yong\Downloads\Learnova A Levels\text books\A Levels Chemistry\Chemistry\Cambridge International AS _ A Level Chemistry Coursebook with Digital Access (2 Years) - Cambridge University Press (2020).pdf
Subject: AL-Chemistry  Form: AS-A2  Pages: 10-886 of 886
  p353/886  SKIP  Page contains only chapter title and learning intentions, no actual content to teach.
  p354/886  SKIP  Page contains pre-learning questions and introductory discussion on uses of halogens, but lacks a focused, rigorous A-Level explanation or worked example suitable for a standalone teaching unit.
  p355/886  SAVED  Chapter 12: Group 17 | 
  p356/886  SAVED  Chapter 12: Group 17 | 12.1 Physical properties of Group 17 elements
  p357/886  SAVED  Chapter 12: Group 17 | Physical Properties of Group 17 Elements
  p358/886  SAVED  Chapter 12: Group 17 | 12.2 Reactions of Group 17 elements
  p359/886  SAVED  Chapter 12: Group 17 | Evidence for the oxidising power of the halogens
  p360/886  SAVED  Chapter 12: Group 17 | Reactions of halogens with hydrogen
  p361/886  SAVED  Chapter 12: Group 17 | Reactions of Halogens with Hydrogen
  p362/886  SAVED  Chapter 12: Group 17 | 12.3 Reactions of the halide ions
  p363/886  SAVED  Chapter 12: Group 17 | Identifying Halide Ions
  p364/886  SAVED  Chapter 12: Group 17 | Reactions of Hydrogen Halides with Concentrated Sulfuric Acid
  p365/886  SAVED  Chapter 12: Group 17 | Halide ions as reducing agents
  p366/886  SAVED  Chapter 12: Group 17 | 12.4 Disproportionation reactions
  p367/886  SKIP  Page contains only discussion prompts and review questions, no new teachable content.
  p368/886  SAVED  Chapter 12: Group 17 | Summary of Group 17
  p369/886  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p370/886  SAVED  Chapter 12: Group 17 | Reactions of Chlorine
  p371/886  SKIP  Self-evaluation checklist, no new content.
  p372/886  SKIP  This page only contains learning intentions, no teaching content.
  p373/886  SAVED  Chapter 13: Nitrogen | Fertiliser Issues
  p374/886  SAVED  Chapter 13: Nitrogen | Environmental impact of nitrogen fertilisers
  p375/886  SAVED  Chapter 13: Nitrogen | 13.1 Nitrogen gas
  p376/886  SAVED  Chapter 13: Nitrogen | Atmospheric oxidation of nitrogen
  p377/886  SAVED  Chapter 13: Nitrogen | 13.2 Ammonia and ammonium compounds
  p378/886  SAVED  Chapter 13: Nitrogen | Ammonia as a weak base and reactions of ammonium salts
  p379/886  SAVED  Chapter 13: Nitrogen | 13.3 Nitrogen oxides in the atmosphere
  p380/886  SAVED  Chapter 13: Nitrogen | Reducing the effects of nitrogen oxides
  p381/886  SAVED  Chapter 13: Nitrogen | Oxides of Nitrogen
  p382/886  SAVED  Chapter 13: Nitrogen | Summary
  p383/886  SKIP  Page contains only exam-style questions with no explanatory or teaching content.
  p384/886  SKIP  (only 36 words)
  p385/886  SKIP  Self-evaluation checklist; no teachable content.
  p386/886  SKIP  Page contains only learning objectives, no teachable content.
  p387/886  SKIP  Page contains only learning objectives and introductory motivational text, no substantive content for a teaching unit.
  p388/886  SAVED  Chapter 14: Introduction to organic | 
  p389/886  SAVED  Chapter 14: Introduction to organic | 14.1 Representing organic molecules
  p390/886  SAVED  Chapter 14: Introduction to organic | Types of Formula
  p391/886  SAVED  Chapter 14: Introduction to organic | Representing organic molecules
  p392/886  SAVED  Chapter 14: Introduction to organic | Determination of empirical and molecular formulae
  p393/886  SAVED  Chapter 14: Introduction to organic | 14.2 Homologous series of organic compounds
  p394/886  SAVED  Chapter 14: Introduction to organic | 14.3 Naming organic compounds
  p395/886  SAVED  Chapter 14: Introduction to organic | Naming organic compounds
  p396/886  SAVED  Chapter 14: Introduction to organic | Homologous series and structural representation
  p397/886  SAVED  Chapter 14: Introduction to organic | Aryl compounds and benzene
  p398/886  SAVED  Chapter 14: Introduction to organic | Aldehydes: naming and structural formulas
  p399/886  SAVED  Chapter 14: Introduction to organic | 14.4 Bonding in organic molecules
  p400/886  SAVED  Chapter 14: Introduction to organic | 
  p401/886  SAVED  Chapter 14: Introduction to organic | Hybridisation of carbon atoms
  p402/886  SAVED  Chapter 14: Introduction to organic | 14.5 Structural isomerism
  p403/886  SAVED  Chapter 14: Introduction to organic | Isomerism
  p404/886  SAVED  Chapter 14: Introduction to organic | Chain isomerism
  p405/886  SAVED  Chapter 14: Introduction to organic | 14.6 Stereoisomerism
  p406/886  SAVED  Chapter 14: Introduction to organic | Optical isomerism
  p407/886  SAVED  Chapter 14: Introduction to organic | Optical isomerism and chiral centres
  p408/886  SAVED  Chapter 14: Introduction to organic | Optical Isomerism
  p409/886  SAVED  Chapter 14: Introduction to organic | 14.7 Types of organic reaction and reaction mechanisms
  p410/886  SAVED  Chapter 14: Introduction to organic | Heterolytic fission and carbocation stability
  p411/886  SAVED  Chapter 14: Introduction to organic | 
  p412/886  SAVED  Chapter 18: Carbonyl compounds | Types of organic reaction
  p413/886  SKIP  The page contains only a list of reactions without explanation and a reflection activity for mind mapping, lacking direct teachable content such as concept explanation, worked examples, or common mistakes.
  p414/886  SKIP  Page is a summary list of general organic chemistry concepts, not a focused teaching unit.
  p415/886  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p416/886  SKIP  Page contains exam questions on hydrocarbons and empirical formulas, not carbonyl compounds.
  p417/886  SKIP  The extracted text is a self-evaluation checklist, not instructional content for a subtopic or concept.
  p418/886  SKIP  Page contains only learning intentions, no teachable content.
  p419/886  SAVED  Chapter 15: Hydrocarbons | Hydrocarbons in Use
  p420/886  SKIP  (only 22 words)
  p421/886  SAVED  Chapter 15: Hydrocarbons | Fractional Distillation of Crude Oil
  p422/886  SAVED  Chapter 15: Hydrocarbons | 15.1 The homologous group of alkanes
  p423/886  SAVED  Chapter 15: Hydrocarbons | 15.2 Reactions of alkanes
  p424/886  SAVED  Chapter 15: Hydrocarbons | Combustion of alkanes
  p425/886  SAVED  Chapter 15: Hydrocarbons | Environmental Impacts of Combustion
  p426/886  SAVED  Chapter 15: Hydrocarbons | Reducing traffic emissions
  p427/886  SAVED  Chapter 15: Hydrocarbons | 
  p428/886  SAVED  Chapter 15: Hydrocarbons | Substitution reactions of alkanes
  p429/886  SAVED  Chapter 15: Hydrocarbons | Free-Radical Substitution
  p430/886  SKIP  Page contains only questions and reflection prompts, no explanatory content.
  p431/886  SAVED  Chapter 15: Hydrocarbons | 15.3 The alkenes
  p432/886  SAVED  Chapter 15: Hydrocarbons | Addition reactions of the alkenes
  p433/886  SAVED  Chapter 15: Hydrocarbons | Addition reactions of alkenes
  p434/886  SAVED  Chapter 15: Hydrocarbons | Electrophilic Addition of Hydrogen Halides to Alkenes
  p435/886  SAVED  Chapter 15: Hydrocarbons | Reactions of Alkenes
  p436/886  SAVED  Chapter 15: Hydrocarbons | Electrophilic addition to alkenes
  p437/886  SAVED  Chapter 15: Hydrocarbons | Electrophilic addition reactions
  p438/886  SAVED  Chapter 15: Hydrocarbons | 15.4 Oxidation of the alkenes
  p439/886  SAVED  Chapter 15: Hydrocarbons | Oxidation of Alkenes under Harsh Conditions
  p440/886  SAVED  Chapter 15: Hydrocarbons | Oxidation of Alkenes
  p441/886  SAVED  Chapter 15: Hydrocarbons | 15.5 Addition polymerisation
  p442/886  SAVED  Chapter 15: Hydrocarbons | More about addition polymers
  p443/886  SAVED  Chapter 15: Hydrocarbons | Disposal of poly(alkene) plastics
  p444/886  SKIP  (only 34 words)
  p445/886  SAVED  Chapter 15: Hydrocarbons | 15.6 Tackling questions on addition polymers
  p446/886  SAVED  Chapter 15: Hydrocarbons | Polymers from alkenes
  p447/886  SKIP  Page is a summary of the chapter, not a focused teaching unit.
  p448/886  SKIP  Page contains only exam-style questions, no instructional content.
  p449/886  SAVED  Chapter 15: Hydrocarbons | Alkenes
  p450/886  SAVED  Chapter 15: Hydrocarbons | Oxidation of Alkenes
  p451/886  SKIP  Self-evaluation checklist, no new content.
  p452/886  SKIP  Chapter opening page with learning intentions and a 'Before you start' question only; no detailed content or explanation to structure into a teaching unit.
  p453/886  SAVED  Chapter 14: Halogenoalkanes | Uses of Halogenoalkanes
  p454/886  SAVED  Chapter 14: Halogenoalkanes | Environmental impact of CFCs
  p455/886  SKIP  (only 39 words)
  p456/886  SAVED  Chapter 16: Halogenoalkanes | 16.1 Making halogenoalkanes
  p457/886  SAVED  Chapter 16: Halogenoalkanes | 16.2 Nucleophilic substitution reactions
  p458/886  SAVED  Chapter 14: Halogenoalkanes | Hydrolysis of Halogenoalkanes and Testing for Halides
  p459/886  SAVED  Chapter 14: Halogenoalkanes | Reactivity of Halogenoalkanes in Nucleophilic Substitution
  p460/886  SAVED  Chapter 14: Halogenoalkanes | Reactions of halogenoalkanes with ammonia
  p461/886  SAVED  Chapter 16: Halogenoalkanes | 16.3 Mechanism of nucleophilic substitution in halogenoalkanes
  p462/886  SAVED  Chapter 14: that nucleophiles are donors | Mechanism for nucleophilic substitution on tertiary halogenoalkanes (SN1)
  p463/886  SAVED  Chapter 14: Nucleophiles are Donors | SN1 and SN2 Mechanisms
  p464/886  SAVED  Chapter 14: that nucleophiles are donors | 16.4 Elimination reactions
  p465/886  SAVED  Chapter 14: Halogenoalkanes | Summary
  p466/886  SKIP  Page contains only exam-style questions, no explanatory content for teaching unit.
  p467/886  SKIP  The extracted text consists solely of exam-style questions without explanatory content, mechanisms, or principles suitable for a teaching unit.
  p468/886  SKIP  Self-evaluation checklist, no teachable content.
  p469/886  SKIP  Page contains only learning intentions, no detailed content.
  p470/886  SAVED  Chapter 17: Alcohols, esters and carboxylic acids | Making ethanol as a biofuel
  p471/886  SAVED  Chapter 17: Alcohols, esters and carboxylic acids | Ethanol production
  p472/886  SKIP  (only 35 words)
  p473/886  SAVED  Chapter 17: Alcohols, esters and | 17.1 The homologous series of alcohols
  p474/886  SAVED  Chapter 17: Alcohols, esters and | Acidity of alcohols
  p475/886  SAVED  Chapter 17: Alcohols, esters and | 17.2 Reactions to make alcohols
  p476/886  SAVED  Chapter 17: Alcohols, esters and | 17.3 Reactions of the alcohols
  p477/886  SAVED  Chapter 17: Alcohols, esters and carbonyl compounds | Halogenation of alcohols
  p478/886  SAVED  Chapter 17: Alcohols, esters and | Reaction with sodium metal
  p479/886  SAVED  Chapter 17: Alcohols, esters and carboxylic acids | Reaction of alcohols with alkali metals
  p480/886  SAVED  Chapter 17: Alcohols, esters and | Esterification
  p481/886  SAVED  Chapter 17: Alcohols, esters and | Hydrolysis of esters
  p482/886  SAVED  Chapter 17: Alcohols, esters and carboxylic acids | 
  p483/886  SAVED  Chapter 17: Alcohols, esters and | Oxidation of alcohols
  p484/886  SAVED  Chapter 17: Alcohols, esters and | Oxidation of alcohols
  p485/886  SAVED  Chapter 17: Alcohols, esters and | Oxidation of alcohols
  p486/886  SAVED  Chapter 17: Alcohols, esters and carboxylic acids | 17.4 Carboxylic acids
  p487/886  SKIP  Page contains only practice questions and reflection activities, not explanatory content.
  p488/886  SAVED  Chapter 17: Alcohols, esters and | Summary
  p489/886  SKIP  Page contains only exam-style questions, no explanatory or teachable content.
  p490/886  SAVED  Chapter 17: Alcohols, esters and carboxylic acids | Oxidation of alcohols
  p491/886  SKIP  Page is a self-evaluation checklist, not instructional content.
  p492/886  SKIP  Page only contains chapter title and learning intentions, no teachable content.
  p493/886  SAVED  Chapter 18: Carbonyl compounds | Using aldehydes and ketones
  p494/886  SAVED  Chapter 18: Carbonyl compounds | Introduction to Carbonyl Compounds
  p495/886  SAVED  Chapter 18: Carbonyl compounds | 18.1 The homologous series of aldehydes and ketones
  p496/886  SKIP  (only 34 words)
  p497/886  SAVED  Chapter 18: Carbonyl compounds | 18.2 Preparation of aldehydes and ketones
  p498/886  SAVED  Chapter 18: Carbonyl compounds | Preparing ketones
  p499/886  SAVED  Chapter 18: Carbonyl compounds | 18.3 Reduction of aldehydes and ketones
  p500/886  SAVED  Chapter 18: Carbonyl compounds | 18.4 Nucleophilic addition with HCN
  p501/886  SAVED  Chapter 18: Carbonyl compounds | 
  p502/886  SAVED  Chapter 18: Carbonyl compounds | 18.5 Testing for aldehydes and ketones
  p503/886  SAVED  Chapter 18: Carbonyl compounds | Distinguishing between aldehydes and ketones
  p504/886  SAVED  Chapter 18: Carbonyl compounds | Tollens' reagent
  p505/886  SAVED  Chapter 18: Carbonyl compounds | Testing with Fehling's solution
  p506/886  SKIP  Page contains only exam-style questions and a reflection prompt, no new teachable content.
  p507/886  SAVED  Chapter 18: Carbonyl compounds | 18.6 Reactions to form tri-iodomethane
  p508/886  SAVED  Chapter 18: Carbonyl compounds | Iodoform reaction (tri-iodomethane test)
  p509/886  SAVED  Chapter 18: Carbonyl compounds | 18.7 Infrared spectroscopy
  p510/886  SAVED  Chapter 18: Carbonyl compounds | Infrared Spectroscopy of Carbonyl Compounds
  p511/886  SKIP  (only 27 words)
  p512/886  SAVED  Chapter 18: Carbonyl compounds | 
  p513/886  SKIP  (only 24 words)
  p514/886  SAVED  Chapter 18: Carbonyl compounds | 
  p515/886  SKIP  Page contains only exam-style questions, no explanatory content.
  p516/886  SKIP  Page contains only exam-style questions (problems 5, 6, 7) with no explanatory content for teaching.
  p517/886  SKIP  Page contains only exam-style questions, not explanatory content.
  p518/886  SKIP  Self-evaluation checklist, not teachable content.
  p519/886  SKIP  (only 6 words)
  p520/886  SKIP  Page content is about practical skills and variables, not carbonyl compounds.
  p521/886  SAVED  Chapter 18: Carbonyl compounds | Practical Skills ? Data Presentation and Measurement
  p522/886  SAVED  Chapter 18: Carbonyl compounds | 
  p523/886  SAVED  Chapter 18: Carbonyl compounds | P1.2 Manipulation, measurement and observation
  p524/886  SKIP  The extracted text contains general experimental questions and does not provide teachable content related to carbonyl compounds or any specific A-Level chemistry concept.
  p525/886  SKIP  This page contains generic practical skills on data presentation and not specific chemistry content for carbonyl compounds.
  p526/886  SKIP  Page contains generic lab practice instructions, not specific chemistry content for the chapter.
  p527/886  SAVED  Chapter 18: Carbonyl compounds | Calorimetry
  p528/886  SKIP  Page contains generic practical skills checklist, not specific to carbonyl compounds chapter.
  p529/886  SKIP  Content does not match chapter context of carbonyl compounds; it is about experimental errors.
  p530/886  SAVED  Chapter 18: Carbonyl compounds | Experimental skills
  p531/886  SKIP  The page contains a generic summary of practical examination skills, not specific carbonyl compound content.
  p532/886  SKIP  Page contains only exam-style questions, no teachable content.
  p533/886  SKIP  Extracted text contains only exam-style questions without explanatory content; cannot construct a teaching unit.
  p534/886  SKIP  Page contains only learning intentions, no content to teach.
  p535/886  SKIP  Page contains learning objectives and pre-chapter activities, but no core explanatory content to structure into a teaching unit.
  p536/886  SAVED  Chapter 6: X-ray Crystallography | X-ray Diffraction and Crystal Structure Determination
  p537/886  SAVED  Chapter 6: of the coursebook | 19.1 Defining lattice energy
  p538/886  SAVED  Chapter 19: Enthalpy Changes | 19.2 Enthalpy change of atomisation and electron affinity
  p539/886  SAVED  Chapter 6: Chemical Energetics | Trends in electron affinities
  p540/886  SKIP  (only 28 words)
  p541/886  SAVED  Chapter 19: Lattice Energy | 19.3 Born?Haber cycles
  p542/886  SAVED  Chapter 19: Lattice Energy | Calculating lattice energies
  p543/886  SAVED  Chapter 6: Chemical Energetics | Born-Haber Cycles and Lattice Energy
  p544/886  SAVED  Chapter 6: Lattice Energy and Born-Haber Cycles | The Born?Haber cycle for magnesium chloride
  p545/886  SAVED  Chapter 6: Chemical Energetics | Born-Haber Cycles and Lattice Energy
  p546/886  SAVED  Chapter 6: Chemical Energetics | Lattice Energy: Effect of Ionic Size and Charge
  p547/886  SAVED  Chapter 6: Chemical Bonding and Lattice Energy | Ion polarisation
  p548/886  SAVED  Chapter 6: Group 2 Elements | The thermal stability of Group 2 carbonates and nitrates
  p549/886  SAVED  Chapter 6: Group 2 Elements and Their Compounds | Thermal Decomposition of Group 2 Nitrates
  p550/886  SAVED  Chapter 19: Enthalpy Changes in Solution | 19.4 Enthalpy changes in solution
  p551/886  SAVED  Chapter 6: Enthalpy Changes | Enthalpy change of solution
  p552/886  SAVED  Chapter 6: Enthalpy Changes and Hydration | Enthalpy Change of Hydration
  p553/886  SAVED  Chapter 6: Enthalpy Changes in Solution | Calculating enthalpy changes in solution
  p554/886  SAVED  Chapter 6: Chemical Energetics | Enthalpy Cycles for Solution and Hydration
  p555/886  SAVED  Chapter 6: Energetics | Solubility of Group 2 Sulfates
  p556/886  SAVED  Chapter 6: Group 2 Elements | Solubility of Group 2 Sulfates
  p557/886  SAVED  Chapter 6: Lattice Energy and Born-Haber Cycles | 
  p558/886  SKIP  Page contains only exam-style questions and a brief checklist, not instructional content for a new concept.
  p559/886  SAVED  Chapter 6: Lattice Energy and Born-Haber Cycles | Born-Haber Cycles
  p560/886  SKIP  Page contains only exam questions, no explanatory content for a teaching unit.
  p561/886  SKIP  The page contains only a self-evaluation checklist with learning objectives, not any teachable content such as explanations, equations, or examples.
  p562/886  SKIP  Page contains only learning intentions, no teachable content or concept explanation.
  p563/886  SAVED  Chapter 8: Electrochemistry | Standard cell potentials and their measurement
  p564/886  SAVED  Chapter 20: Electrochemistry | Electrochemical Remediation of Soil
  p565/886  SAVED  Chapter 8: Electrochemistry | Electrochemical Soil Remediation
  p566/886  SAVED  Chapter 20: Redox Reactions | 20.1 Redox reactions revisited
  p567/886  SAVED  Chapter 20: Electrolysis | 20.2 Electrolysis
  p568/886  SAVED  Chapter 8: Electrolysis and Redox Reactions | Electrode Reactions in Electrolysis
  p569/886  SAVED  Chapter 8: Electrolysis | 20.3 Quantitative electrolysis
  p570/886  SAVED  Chapter 8: Electrochemistry | 
  p571/886  SAVED  Chapter 20: Electrolysis and the Avogadro Constant | Calculating the Avogadro constant by an electrolytic method
  p572/886  SAVED  Chapter 8: Electrochemistry | The Faraday Constant
  p573/886  SAVED  Chapter 20: Electrode Potentials and Redox Reactions | 20.4 Electrode potentials
  p574/886  SAVED  Chapter 20: Electrochemistry | Standard Hydrogen Electrode
  p575/886  SAVED  Chapter 8: Electrode Potentials and Redox Reactions | 
  p576/886  SAVED  Chapter 20: Electrochemistry | 20.5 Combining half-cells
  p577/886  SAVED  Chapter 20: Electrochemistry | Electrochemical Cells and Half-Cells
  p578/886  SAVED  Chapter 20: Electrochemistry | Standard Electrode Potentials
  p579/886  SAVED  Chapter 20: Redox and Electrode Potentials | Standard Electrode Potentials
  p580/886  SAVED  Chapter 8: Electrochemistry | Half-cells containing non-metals and non-metal ions
  p581/886  SAVED  Chapter 20: Electrode Potentials | Half-cells containing ions of the same element in different oxidation states
  p582/886  SAVED  Chapter 8: Electrode Potentials | Half-Cells with Multiple Ionic Species
  p583/886  SKIP  (only 31 words)
  p584/886  SAVED  Chapter 20: Electrochemistry | 20.6 Using E? values
  p585/886  SAVED  Chapter 20: Electrochemistry | E? values and the direction of electron flow
  p586/886  SAVED  Chapter 8: Electrochemical Cells and Electrode Potentials | Using E? values to predict if a reaction will occur
  p587/886  SAVED  Chapter 8: Electrochemistry | Using standard electrode potentials to predict reaction feasibility
  p588/886  SAVED  Chapter 20: Electrochemistry | 
  p589/886  SAVED  Chapter 8: Electrochemistry | Predicting Feasibility of Redox Reactions
  p590/886  SAVED  Chapter 8: Electrochemistry | Predicting Feasibility of Redox Reactions
  p591/886  SAVED  Chapter 8: Electrochemistry | Predicting Feasibility of Redox Reactions
  p592/886  SAVED  Chapter 20: Electrochemistry | E? values and oxidising and reducing agents
  p593/886  SAVED  Chapter 20: Group 17 ? The Halogens | Standard Electrode Potentials and Displacement Reactions
  p594/886  SAVED  Chapter 8: Equilibrium | Redox Equilibria and Electrode Potential
  p595/886  SAVED  Chapter 8: Equilibrium and Electrode Potentials | The Nernst Equation
  p596/886  SAVED  Chapter 8: Electrode Potentials and the Nernst Equation | The Nernst Equation for Metal/Metal Ion Electrodes
  p597/886  SAVED  Chapter 8: Electrochemistry | Limitations of E? Predictions
  p598/886  SAVED  Chapter 20: Electrochemistry | 20.7 More about electrolysis
  p599/886  SAVED  Chapter 20: Electrochemistry | Selective discharge of ions in aqueous electrolysis
  p600/886  SAVED  Chapter 8: Equilibria | Electrolysis products and solution concentration
  p601/886  SAVED  Chapter 8: Electrochemistry | 
  p602/886  SAVED  Chapter 8: Electrochemistry | Standard Electrode Potentials
  p603/886  SAVED  Chapter 8: Redox Equilibria | Standard Electrode Potential
  p604/886  SAVED  Chapter 8: Redox Equilibria | Standard Electrode Potentials
  p605/886  SAVED  Chapter 8: Electrochemistry | Electrolysis and Faraday's Laws
  p606/886  SAVED  Chapter 8: Electrode Potentials | Using the Nernst Equation
  p607/886  SKIP  Page is a self-evaluation checklist, not instructional content.
  p608/886  SKIP  Page contains only learning intentions and chapter title, no detailed teaching content.
  p609/886  SKIP  Page contains learning objectives and review exercises, no new concept explanation or worked example.
  p610/886  SAVED  Chapter 21: Further aspects of | 
  p611/886  SAVED  Chapter 21: Further aspects of | 21.1 Conjugate acids and conjugate bases
  p612/886  SAVED  Chapter 21: Further aspects of equilibria | The ionic product of water, Kw
  p613/886  SAVED  Chapter 21: Further aspects of | 21.2 pH calculations
  p614/886  SAVED  Chapter 21: Further aspects of | pH calculations and strong acids
  p615/886  SAVED  Chapter 21: Further aspects of acids and bases | pH of strong acids and strong bases
  p616/886  SAVED  Chapter 21: Further aspects of equilibria | Ionisation of water and Kw
  p617/886  SAVED  Chapter 21: Further aspects of equilibria | 21.3 Weak acids: using the acid dissociation constant, Ka
  p618/886  SAVED  Chapter 21: Further aspects of | 
  p619/886  SAVED  Chapter 21: Further aspects of acid-base equilibria | Calculating Ka for a weak acid
  p620/886  SAVED  Chapter 21: Further aspects of acids and bases | Calculating the pH of a weak acid
  p621/886  SKIP  Page contains only an exercise question and a solved calculation; no new conceptual teaching content.
  p622/886  SAVED  Chapter 21: Further aspects of equilibria | 21.4 Buffer solutions
  p623/886  SAVED  Chapter 21: Further aspects of acid-base equilibria | Buffer solutions
  p624/886  SAVED  Chapter 21: Further aspects of acid?base equilibria | Buffer solutions
  p625/886  SAVED  Chapter 21: Further aspects of | Buffer solutions
  p626/886  SAVED  Chapter 21: Further aspects of equilibria | Buffer systems in the body
  p627/886  SAVED  Chapter 21: Further aspects of | Buffer systems in blood
  p628/886  SAVED  Chapter 21: Further Aspects of Equilibria | Equilibrium and solubility
  p629/886  SAVED  Chapter 21: Solubility Product | Solubility product calculations
  p630/886  SAVED  Chapter 4: Solubility Equilibria | Calculating Ksp and Solubility
  p631/886  SAVED  Chapter 4: Solubility Equilibria | Predicting precipitation
  p632/886  SAVED  Chapter 21: Solubility Equilibria | The Common Ion Effect
  p633/886  SAVED  Chapter 4: Chemical Equilibria | Solubility Product
  p634/886  SAVED  Chapter 21: Chemical Equilibria | 21.6 Partition coefficients
  p635/886  SAVED  Chapter 4: Solubility and Partition | Factors Affecting Partition Coefficient
  p636/886  SAVED  Chapter 4: we learned that most ionic compounds dissolve in water. | Partition coefficients and paper chromatography
  p637/886  SKIP  The page contains a reflective exercise asking students to explain previously learned terms, not new teachable content.
  p638/886  SAVED  Chapter 4: Chemical Equilibria | 
  p639/886  SKIP  Page contains only exam-style questions and brief advice; no substantive teaching content to structure into a unit.
  p640/886  SAVED  Chapter 4: Acid-base Equilibria | Buffer solutions
  p641/886  SKIP  Page contains a self-evaluation checklist with learning objectives only, not teachable content.
  p642/886  SKIP  Page contains only learning intentions, no teachable content.
  p643/886  SAVED  Chapter 22: Reaction kinetics | Studying very fast reactions
  p644/886  SAVED  Chapter 22: Reaction kinetics | 
  p645/886  SAVED  Chapter 22: Reaction Kinetics | 22.1 Factors affecting reaction rate
  p646/886  SAVED  Chapter 22: Reaction Kinetics | 22.2 Rate of reaction
  p647/886  SAVED  Chapter 22: Rate equations | 22.3 Rate equations
  p648/886  SAVED  Chapter 22: Reaction Kinetics | Rate Equations and the Rate Constant
  p649/886  SAVED  Chapter 9: Reaction Kinetics | Order of Reaction
  p650/886  SAVED  Chapter 9: Rates of Reaction | Units of k
  p651/886  SKIP  (only 26 words)
  p652/886  SAVED  Chapter 22: Reaction Kinetics | 22.4 Which order of reaction?
  p653/886  SAVED  Chapter 9: Reaction Kinetics | Reaction Orders: First and Second Order
  p654/886  SAVED  Chapter 9: Rate of isomerisation of cyclopropane to propene | Half-life and reaction rates
  p655/886  SAVED  Chapter 9: Rate of isomerisation of cyclopropane to prop | Half-life and Reaction Order
  p656/886  SAVED  Chapter 9: Reaction Kinetics | Half-life and Reaction Order
  p657/886  SAVED  Chapter 22: Reaction Kinetics | 22.5 Calculations involving the rate constant, k
  p658/886  SAVED  Chapter 22: Reaction Kinetics | Half-life of First-Order Reactions
  p659/886  SAVED  Chapter 9: Rate of Reaction | Determining Reaction Order from Rate-Concentration Graphs
  p660/886  SAVED  Chapter 9: Rate of isomerisation of cyclopropane to propene | The effect of temperature on the rate constant
  p661/886  SKIP  (only 15 words)
  p662/886  SAVED  Chapter 22: Reaction Kinetics | 22.6 Deducing order of reaction from raw data
  p663/886  SAVED  Chapter 22: Reaction Kinetics | Determining Rate Equations from Experimental Data
  p664/886  SAVED  Chapter 9: Rate of Reaction | Determining Rate Equations from Experimental Data
  p665/886  SAVED  Chapter 22: Reaction Kinetics | The rate-determining step
  p666/886  SAVED  Chapter 9: Reaction Kinetics | Rate-determining Step and Molecularity
  p667/886  SAVED  Chapter 9: Reaction Kinetics | Predicting the order of a reaction from reaction mechanisms
  p668/886  SKIP  Page contains only reflection questions, no new concepts or explanations.
  p669/886  SAVED  Chapter 22: Transition Elements | 22.8 Catalysis
  p670/886  SAVED  Chapter 22: Catalysis | Homogeneous catalysis
  p671/886  SAVED  Chapter 9: Catalysis | 
  p672/886  SAVED  Chapter 9: Catalysis | Heterogeneous catalysis
  p673/886  SAVED  Chapter 9: Catalysis | Examples of heterogeneous catalysis
  p674/886  SAVED  Chapter 9: Catalysis | Transition elements in catalytic converters
  p675/886  SAVED  Chapter 9: Reaction Kinetics | Summary
  p676/886  SKIP  Page contains only exam-style questions, no new teaching content.
  p677/886  SAVED  Chapter 9: Reaction Kinetics | Determining Rate Equations from Initial Rates
  p678/886  SAVED  Chapter 9: Catalysis | Experimental determination of reaction order
  p679/886  SAVED  Chapter 9: Reaction Kinetics | Determining Rate Equations from Experimental Data
  p680/886  SAVED  Chapter 9: Reaction Kinetics | Determining Rate Equations from Experimental Data
  p681/886  SKIP  The page is a self-evaluation checklist with learning objectives, not teachable content.
  p682/886  SKIP  Page contains only chapter learning intentions, no direct teaching content.
  p683/886  SAVED  Chapter 23: Entropy and Gibbs free energy | Why do rubber bands have elastic properties?
  p684/886  SKIP  The page contains a discussion question about environmental problems in rubber production, not direct teaching of chemistry concepts or principles.
  p685/886  SAVED  Chapter 23: Entropy and Gibbs free | 23.1 Introducing entropy
  p686/886  SAVED  Chapter 23: Entropy and Gibbs free | 23.2 Chance and spontaneous change
  p687/886  SAVED  Chapter 23: Entropy and Gibbs free | 
  p688/886  SAVED  Chapter 23: Entropy and Gibbs free | Comparing entropy values
  p689/886  SAVED  Chapter 23: Entropy and Gibbs free | Trends in Standard Entropy Values
  p690/886  SAVED  Chapter 23: Entropy and Gibbs free | Entropy changes in reactions
  p691/886  SAVED  Chapter 23: Entropy and Gibbs free energy | Predicting entropy changes
  p692/886  SAVED  Chapter 23: Entropy and Gibbs free | 23.3 Calculating entropy changes
  p693/886  SAVED  Chapter 23: Entropy and Gibbs free | Calculating standard entropy change of the system
  p694/886  SAVED  Chapter 23: Entropy and Gibbs free | Calculating the entropy change of the surroundings
  p695/886  SAVED  Chapter 23: Entropy and Gibbs free | Calculating total entropy change
  p696/886  SAVED  Chapter 23: Entropy and Gibbs free | Total standard entropy change
  p697/886  SAVED  Chapter 23: Entropy and Gibbs free | Entropy and temperature
  p698/886  SAVED  Chapter 23: Entropy and Gibbs free energy | Total Entropy Change and Spontaneity
  p699/886  SAVED  Chapter 23: Entropy and Gibbs free | 23.4 Entropy, enthalpy changes and Gibbs free energy
