Processing: C:\Users\Yong\Downloads\Learnova A Levels\text books\A Levels Physics\Physics\Cambridge International AS _ A Level Physics Coursebook with Digital Access (2 Years) - Cambridge University Press (2021).pdf
Subject: AL-Physics  Form: AS-A2  Pages: 10-907 of 907
  p380/907  SAVED  Chapter 14: Stationary waves | 
  p381/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p382/907  SAVED  Chapter 14: Stationary waves | 
  p383/907  SKIP  Page contains only exam-style questions and diagrams, no explanatory content to structure into a teaching unit.
  p384/907  SAVED  Chapter 14: Stationary waves | Stationary waves on a stretched string
  p385/907  SKIP  Page contains a self-evaluation checklist with no teachable content.
  p386/907  SKIP  Chapter opener page with learning intentions and motivational box, no specific teachable content such as explanations, laws, or examples.
  p387/907  SKIP  Page contains only introductory narrative and a figure caption, no specific teachable content for a sub-topic.
  p388/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.1 Looking inside the atom
  p389/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.2 Alpha-particle scattering and the nucleus
  p390/907  SAVED  Chapter 15: Atomic structure and particle physics | The ?-scattering experiment
  p391/907  SAVED  Chapter 15: Atomic structure and particle physics | Rutherford's ?-particle scattering experiment
  p392/907  SKIP  (only 0 words)
  p393/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.3 A simple model of the atom
  p394/907  SAVED  Chapter 15: Atomic structure and particle physics | Nuclear density
  p395/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.4 Nucleons and electrons
  p396/907  SAVED  Chapter 15: Atomic structure and particle physics | Isotopes
  p397/907  SAVED  Chapter 15: Atomic structure and particle physics | Isotopes of hydrogen
  p398/907  SAVED  Chapter 15: Atomic structure and particle physics | Isotopes
  p399/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.5 Forces in the nucleus
  p400/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.6 Discovering radioactivity
  p401/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.7 Radiation from radioactive substances
  p402/907  SAVED  Chapter 15: Atomic structure and particle physics | Identification and properties of ?-radiation
  p403/907  SAVED  Chapter 15: Atomic structure and particle physics | Identification and properties of ?-radiation
  p404/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.8 Energies in ? and ? decay
  p405/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.9 Equations of radioactive decay
  p406/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.10 Fundamental particles
  p407/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.11 Families of particles
  p408/907  SAVED  Chapter 15: Atomic structure and particle physics | Quarks and the composition of hadrons
  p409/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.12 Another look at ? decay
  p410/907  SAVED  Chapter 15: Atomic structure and particle physics | 15.13 Another nuclear force
  p411/907  SKIP  The page is a chapter summary containing bullet points of multiple concepts, not a focused teaching section for a single concept.
  p412/907  SKIP  Page contains only exam-style questions, no teaching content.
  p413/907  SKIP  Page contains only exam-style questions without explanatory content or worked examples.
  p414/907  SKIP  Page contains only exam questions, no instructional content.
  p415/907  SKIP  Page is a self-evaluation checklist, not teachable content.
  p416/907  SKIP  Page contains only learning intentions and introductory questions, no teachable content or concept explanation.
  p417/907  SKIP  (only 0 words)
  p418/907  SKIP  Page content is about general practical work skills, not the specific chapter topic of atomic structure and particle physics.
  p419/907  SKIP  The page content is about practical measurement apparatus and does not relate to the chapter topic of atomic structure and particle physics.
  p420/907  SAVED  Chapter 15: Atomic structure and particle physics | 
  p421/907  SKIP  The page contains general advice on setting up apparatus and circuits, not specific to atomic structure and particle physics.
  p422/907  SAVED  Chapter 15: Atomic structure and particle physics | P1.3 Gathering evidence
  p423/907  SAVED  Chapter 15: Atomic structure and particle physics | P1.4 Precision, accuracy, errors and uncertainties
  p424/907  SAVED  Chapter 15: Atomic structure and particle physics | Measurement uncertainties
  p425/907  SKIP  (only 14 words)
  p426/907  SAVED  Chapter 15: Atomic structure and particle physics | P1.5 Finding the value of an uncertainty
  p427/907  SKIP  Content is about measurement uncertainty and experimental errors, not atomic structure and particle physics.
  p428/907  SKIP  (only 3 words)
  p429/907  SAVED  Chapter 15: Atomic structure and particle physics | P1.6 Percentage uncertainty
  p430/907  SAVED  Chapter 15: Atomic structure and particle physics | P1.7 Recording results
  p431/907  SKIP  (only 17 words)
  p432/907  SAVED  Chapter 15: Atomic structure and particle physics | P1.8 Analysing results
  p433/907  SKIP  Page contains only graphing exercise instructions, not atomic structure physics content.
  p434/907  SAVED  Chapter 15: Atomic structure and particle physics | P1.9 Testing a relationship
  p435/907  SAVED  Chapter 15: Atomic structure and particle physics | Practical skills ? testing hypotheses
  p436/907  SAVED  Chapter 15: Atomic structure and particle physics | Practical skills: data analysis
  p437/907  SAVED  Chapter 15: Atomic structure and particle physics | P1.10 Combining uncertainties
  p438/907  SAVED  Chapter 15: Atomic structure and particle physics | 
  p439/907  SAVED  Chapter 15: Atomic structure and particle physics | P1.11 Identifying limitations in procedures and suggesting improvements
  p440/907  SKIP  Content is about experimental technique for falling objects, not atomic structure or particle physics.
  p441/907  SAVED  Chapter 15: Atomic structure and particle physics | Experiment 3: Timing oscillations
  p442/907  SKIP  The page contains practical experiment troubleshooting and measurement techniques (oscillations, force meters), not atomic structure or particle physics content.
  p443/907  SAVED  Chapter 15: Atomic structure and particle physics | Practical Physics ? Experimental Errors and Improvements
  p444/907  SKIP  Page content is a table of experimental problems and improvements for a resistivity experiment, not directly related to atomic structure and particle physics.
  p445/907  SKIP  The page contains a generic summary on experimental measurements and errors, not specific to atomic structure and particle physics.
  p446/907  SKIP  Page contains only exam-style questions, no explanatory content for a teaching unit.
  p447/907  SKIP  Page contains only practical exercise instructions and a data table, no conceptual explanation or teachable content for a teaching unit.
  p448/907  SKIP  The page contains a practical exercise on motion and uncertainties, not atomic structure or particle physics.
  p449/907  SAVED  Chapter 15: Atomic structure and particle physics | 
  p450/907  SKIP  The page contains only a self-evaluation checklist, not teachable content.
  p451/907  SAVED  Chapter 16: Circular motion | Moving in circles
  p452/907  SKIP  (only 19 words)
  p453/907  SAVED  Chapter 16: Circular motion | 16.1 Describing circular motion
  p454/907  SAVED  Chapter 16: Circular motion | 16.2 Angles in radians
  p455/907  SAVED  Chapter 16: Circular motion | Radians
  p456/907  SAVED  Chapter 16: Circular motion | 16.3 Steady speed, changing velocity
  p457/907  SAVED  Chapter 16: Circular motion | 16.4 Angular speed
  p458/907  SAVED  Chapter 16: Circular motion | Angular speed and linear speed
  p459/907  SAVED  Chapter 16: Circular motion | 16.5 Centripetal forces
  p460/907  SAVED  Chapter 16: Circular motion | Vector diagrams
  p461/907  SAVED  Chapter 16: Circular motion | Understanding circular motion
  p462/907  SAVED  Chapter 16: Circular motion | 16.6 Calculating acceleration and force
  p463/907  SAVED  Chapter 16: Circular motion | Centripetal force
  p464/907  SAVED  Chapter 16: Circular motion | 
  p465/907  SAVED  Chapter 16: Circular motion | 16.7 The origins of centripetal forces
  p466/907  SAVED  Chapter 16: Circular motion | Applications of centripetal force
  p467/907  SKIP  The extracted text contains only discussion prompts and activity suggestions, not teachable A-Level Physics content such as definitions, equations, or worked examples.
  p468/907  SAVED  Chapter 16: Circular motion | Summary
  p469/907  SKIP  Page contains only exam-style questions, no new teaching content.
  p470/907  SKIP  Page contains only exam-style questions, no explanatory content or worked examples.
  p471/907  SKIP  Page contains only exam-style questions without instructional content.
  p472/907  SAVED  Chapter 16: Circular motion | Centrifuge and centripetal force calculations
  p473/907  SKIP  Page is a self-evaluation checklist, no instructional content.
  p474/907  SKIP  Page contains only learning objectives and introductory remarks, no specific concept or explanation to structure.
  p475/907  SAVED  Chapter 17: Gravitational fields | 
  p476/907  SKIP  (only 37 words)
  p477/907  SAVED  Chapter 17: Gravitational fields | 17.1 Representing a gravitational field
  p478/907  SAVED  Chapter 17: Gravitational fields | Newton's law of gravitation
  p479/907  SAVED  Chapter 17: Gravitational fields | Gravitational force and inverse square law
  p480/907  SAVED  Chapter 17: Gravitational fields | 17.2 Gravitational field strength g
  p481/907  SAVED  Chapter 17: Gravitational fields | Uniform gravitational field approximation
  p482/907  SKIP  The page contains only a data table and problem questions; no instructional content or worked examples to structure into a teaching unit.
  p483/907  SAVED  Chapter 17: Gravitational fields | 17.3 Energy in a gravitational field
  p484/907  SAVED  Chapter 17: Gravitational fields | 17.4 Gravitational potential
  p485/907  SAVED  Chapter 17: Gravitational fields | Gravitational potential difference
  p486/907  SKIP  (only 0 words)
  p487/907  SAVED  Chapter 17: Gravitational fields | 17.5 Orbiting under gravity
  p488/907  SAVED  Chapter 17: Gravitational fields | 
  p489/907  SAVED  Chapter 17: Gravitational fields | 17.6 The orbital period
  p490/907  SAVED  Chapter 17: Gravitational fields | 17.7 Orbiting the Earth
  p491/907  SAVED  Chapter 17: Gravitational fields | Geostationary orbits
  p492/907  SKIP  (only 13 words)
  p493/907  SAVED  Chapter 17: Gravitational fields | 
  p494/907  SKIP  Page contains only exam-style questions, no teachable content.
  p495/907  SKIP  Page contains only practice questions with no explanatory content or teaching material.
  p496/907  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p497/907  SKIP  The page contains only exam-style questions with no explanatory content or teaching material.
  p498/907  SKIP  The page is a self-evaluation checklist with no teachable content or explanations.
  p499/907  SKIP  Page contains only learning intentions and introductory activity, no teachable content.
  p500/907  SAVED  Chapter 18: Oscillations | 
  p501/907  SAVED  Chapter 18: Oscillations | 18.1 Free and forced oscillations
  p502/907  SKIP  (only 0 words)
  p503/907  SAVED  Chapter 18: Oscillations | 18.2 Observing oscillations
  p504/907  SKIP  The page contains only a figure caption and a question for students, with no explanatory content or new concepts to teach.
  p505/907  SAVED  Chapter 18: Oscillations | 18.3 Describing oscillations
  p506/907  SAVED  Chapter 18: Oscillations | Phase difference
  p507/907  SKIP  (only 39 words)
  p508/907  SAVED  Chapter 18: Oscillations | 18.4 Simple harmonic motion
  p509/907  SAVED  Chapter 18: Oscillations | Velocity in simple harmonic motion
  p510/907  SAVED  Chapter 18: Oscillations | 18.5 Representing s.h.m. graphically
  p511/907  SAVED  Chapter 18: Oscillations | Graphs of displacement, velocity and acceleration for s.h.m.
  p512/907  SKIP  (only 30 words)
  p513/907  SAVED  Chapter 18: Oscillations | 18.6 Frequency and angular frequency
  p514/907  SKIP  Page contains only questions and a figure caption, no teachable content.
  p515/907  SAVED  Chapter 18: Oscillations | 18.7 Equations of s.h.m.
  p516/907  SAVED  Chapter 18: Oscillations | Simple Harmonic Motion
  p517/907  SAVED  Chapter 18: Oscillations | Equations for displacement and velocity
  p518/907  SAVED  Chapter 18: Oscillations | 
  p519/907  SKIP  (only 25 words)
  p520/907  SAVED  Chapter 18: Oscillations | 18.8 Energy changes in s.h.m.
  p521/907  SAVED  Chapter 18: Oscillations | Energy in Simple Harmonic Motion
  p522/907  SKIP  (only 11 words)
  p523/907  SAVED  Chapter 18: Oscillations | 18.9 Damped oscillations
  p524/907  SAVED  Chapter 18: Oscillations | Damped oscillations
  p525/907  SAVED  Chapter 18: Oscillations | Energy in oscillatory systems
  p526/907  SAVED  Chapter 18: Oscillations | 18.10 Resonance
  p527/907  SAVED  Chapter 18: Oscillations | Resonance
  p528/907  SAVED  Chapter 18: Oscillations | Resonance and Damping
  p529/907  SAVED  Chapter 18: Oscillations | Damping and Resonance
  p530/907  SAVED  Chapter 18: Oscillations | Applications of Resonance
  p531/907  SKIP  Page contains only a reflection exercise without new content.
  p532/907  SAVED  Chapter 18: Oscillations | SUMMARY
  p533/907  SAVED  Chapter 18: Oscillations | 
  p534/907  SKIP  Page contains only exam-style questions, no new teaching content.
  p535/907  SKIP  Page contains only a partial exam question without teaching content or explanation.
  p536/907  SAVED  Chapter 18: Oscillations | 
  p537/907  SAVED  Chapter 18: Oscillations | Simple Harmonic Motion
  p538/907  SAVED  Chapter 18: Oscillations | Forced oscillations and resonance
  p539/907  SKIP  Page is a self-evaluation checklist with no new content.
  p540/907  SKIP  Page contains only learning intentions and an introductory remark, no teachable content.
  p541/907  SKIP  Page contains only introductory context and rhetorical questions, not instructional content.
  p542/907  SAVED  Chapter 19: Thermal physics | 19.1 Changes of state
  p543/907  SAVED  Chapter 19: Thermal physics | 19.2 Energy changes
  p544/907  SAVED  Chapter 19: Thermal Properties | Potential Energy and State Changes
  p545/907  SAVED  Chapter 21: Thermal Properties of Matter | Latent Heat and Evaporation
  p546/907  SKIP  (only 1 words)
  p547/907  SAVED  Chapter 19: Internal Energy and Phases of Matter | 19.3 Internal energy
  p548/907  SAVED  Chapter 21: why this is so | Changing internal energy
  p549/907  SAVED  Chapter 21: Thermodynamics | First law of thermodynamics and work done by a gas
  p550/907  SAVED  Chapter 21: Thermodynamics | Work done by a gas and the first law of thermodynamics
  p551/907  SAVED  Chapter 21: why this is so | 19.4 The meaning of temperature
  p552/907  SAVED  Chapter 21: why this is so | The Thermodynamic (Kelvin) Scale
  p553/907  SAVED  Chapter 21: Temperature and the Thermodynamic Scale | 
  p554/907  SAVED  Chapter 19: Thermal Physics | 19.5 Thermometers
  p555/907  SAVED  Chapter 21: why this is so | Comparison of Resistance and Thermocouple Thermometers
  p556/907  SAVED  Chapter 19: Thermal Properties of Matter | 19.6 Calculating energy changes ? specific heat capacity
  p557/907  SAVED  Chapter 19: Thermal Properties of Materials | Determining Specific Heat Capacity
  p558/907  SAVED  Chapter 21: why this is so | Sources of error
  p559/907  SAVED  Chapter 21: why this is so | Specific latent heat
  p560/907  SAVED  Chapter 21: Thermal Physics | Specific Latent Heat
  p561/907  SKIP  (only 38 words)
  p562/907  SAVED  Chapter 21: why this is so. | Summary
  p563/907  SKIP  Page contains only exam-style questions, no teachable content.
  p564/907  SKIP  Page contains only end-of-chapter questions, no instructional content.
  p565/907  SAVED  Chapter 21: Thermal Properties of Matter | Specific Latent Heat
  p566/907  SKIP  Page contains only an exam-style problem statement without explanatory content or sufficient data to construct a teaching unit.
  p567/907  SKIP  Page is a self-evaluation checklist with no new teaching content.
  p568/907  SKIP  Chapter introduction page with only learning intentions and context, no specific content to teach.
  p569/907  SKIP  (only 7 words)
  p570/907  SAVED  Chapter 20: Ideal gases | 20.1 Particles of a gas
  p571/907  SAVED  Chapter 20: Ideal gases | 20.2 Explaining pressure
  p572/907  SAVED  Chapter 20: Ideal Gases | 20.3 Measuring gases
  p573/907  SAVED  Chapter 7: Kinetic Theory of Gases | The Mole and Atomic Mass
  p574/907  SAVED  Chapter 20: Gas Laws | 20.4 Boyle?s law
  p575/907  SAVED  Chapter 7: Gas Laws | 
  p576/907  SAVED  Chapter 20: Gas Laws | 20.5 Changing temperature
  p577/907  SAVED  Chapter 20: Ideal Gases | 
  p578/907  SAVED  Chapter 20: Thermal Physics | 20.6 Ideal gas equation
  p579/907  SAVED  Chapter 7: Ideal Gases | Using the equation of state
  p580/907  SAVED  Chapter 20: Thermal Physics | 20.7 Modelling gases: the kinetic model
  p581/907  SAVED  Chapter 7: Kinetic Theory of Gases | Derivation of Pressure
  p582/907  SAVED  Chapter 7: Kinetic Theory of Gases | Pressure of an ideal gas
  p583/907  SKIP  Page contains only questions, no explanatory content or worked examples.
  p584/907  SAVED  Chapter 20: Temperature and molecular kinetic energy | 20.8 Temperature and molecular kinetic energy
  p585/907  SAVED  Chapter 7: Kinetic Theory of Gases | The root-mean-square speed
  p586/907  SAVED  Chapter 7: Kinetic Theory of Gases | Mass, kinetic energy and temperature
  p587/907  SAVED  Chapter 7: Ideal Gases | 
  p588/907  SKIP  Page contains only exam-style questions, no teachable content.
  p589/907  SKIP  Page contains only practice questions, no explanatory teaching content.
  p590/907  SAVED  Chapter 7: Kinetic Theory of Gases | Force from Molecular Collisions
  p591/907  SKIP  Page is a self-evaluation checklist with no new concept explanations or examples.
  p592/907  SKIP  Page contains only learning intentions and introductory text, no substantive content for a teaching unit.
  p593/907  SKIP  Page contains introductory/motivational content only, no specific concept or worked example.
  p594/907  SAVED  Chapter 21: Uniform electric fields | 21.1 Attraction and repulsion
  p595/907  SAVED  Chapter 21: Uniform electric fields | 
  p596/907  SAVED  Chapter 21: Uniform electric fields | 21.2 The concept of an electric field
  p597/907  SKIP  The page contains only questions and figure references, no explanatory content or concept teaching.
  p598/907  SKIP  (only 16 words)
  p599/907  SAVED  Chapter 21: Uniform electric fields | 21.3 Electric field strength
  p600/907  SAVED  Chapter 21: Uniform electric fields | Electric field strength and potential difference
  p601/907  SAVED  Chapter 21: Uniform electric fields | 
  p602/907  SKIP  (only 15 words)
  p603/907  SAVED  Chapter 21: Uniform electric fields | 21.4 Force on a charge
  p604/907  SKIP  Page contains only practice questions and reflection, no new teaching content.
  p605/907  SAVED  Chapter 21: Uniform electric fields | Summary
  p606/907  SKIP  Page contains only exam-style questions with no explanatory content.
  p607/907  SKIP  Page contains only exam-style questions, no explanatory content or worked examples.
  p608/907  SKIP  Page contains only problem statements, no explanatory content.
  p609/907  SAVED  Chapter 21: Uniform electric fields | Field Strength and Electrical Breakdown
  p610/907  SKIP  Page is a self-evaluation checklist, not containing new teachable content.
  p611/907  SAVED  Chapter 22: Coulomb's law | 
  p612/907  SKIP  The page contains a contextual discussion about mobile phone masts and 5G, not direct teaching of Coulomb's law or related physics concepts.
  p613/907  SAVED  Chapter 22: Coulomb's law | 22.1 Electric fields
  p614/907  SAVED  Chapter 22: Coulomb?s law | Coulomb's law
  p615/907  SAVED  Chapter 22: Coulomb's law | Coulomb's law and point charges
  p616/907  SKIP  (only 5 words)
  p617/907  SAVED  Chapter 22: Coulomb's law | 22.3 Electric field strength for a radial field
  p618/907  SAVED  Chapter 22: Coulomb?s law | Electric Field of a Charged Sphere
  p619/907  SAVED  Chapter 22: Coulomb's law | 22.4 Electric potential
  p620/907  SAVED  Chapter 22: Electric Potential | Electric Potential and Potential Difference
  p621/907  SAVED  Chapter 22: Electric Fields | Energy in a radial field
  p622/907  SAVED  Chapter 8: that one volt is one joule per coulomb | Electric Potential and Potential Energy
  p623/907  SAVED  Chapter 8: Electric Potential and Field | Field strength and potential gradient
  p624/907  SAVED  Chapter 22: Electric Fields | Potential Gradient and Field Strength
  p625/907  SAVED  Chapter 8: that one volt is one joule per coulomb | Electric Field Strength from Potential Gradient
  p626/907  SAVED  Chapter 8: Electric Fields | Work done in a uniform electric field
  p627/907  SAVED  Chapter 22: Electric Fields | 22.5 Gravitational and electric fields
  p628/907  SAVED  Chapter 22: Electric Fields | Comparison of Gravitational and Electric Fields
  p629/907  SAVED  Chapter 17: Electric Fields | Coulomb's Law
  p630/907  SKIP  Page contains exam-style practice questions only, no explanatory content.
  p631/907  SKIP  Page contains only exam-style questions with no explanatory content or worked examples.
  p632/907  SAVED  Chapter 22: Electric Fields | Electric Potential and Potential Energy
  p633/907  SAVED  Chapter 22: Electric Fields | Electric Field and Force between Charged Spheres
  p634/907  SKIP  Page is a self-evaluation checklist, not teachable content.
  p635/907  SKIP  Page contains only chapter introduction, learning intentions, and a discussion prompt with no specific conceptual or worked content to structure as a teaching unit.
  p636/907  SKIP  Page contains only introductory text and real-world applications, no specific physics concepts, laws, or equations.
  p637/907  SAVED  Chapter 23: Capacitance | 23.1 Capacitors in use
  p638/907  SAVED  Chapter 23: Capacitance | The meaning of capacitance
  p639/907  SAVED  Chapter 23: Capacitance | 
  p640/907  SAVED  Chapter 23: Capacitance | 23.2 Energy stored in a capacitor
  p641/907  SAVED  Chapter 23: Capacitance | Energy stored in a capacitor
  p642/907  SAVED  Chapter 23: Capacitance | Energy stored in a capacitor
  p643/907  SKIP  Page contains only questions and a figure caption, no explanatory text or worked examples.
  p644/907  SAVED  Chapter 23: Capacitance | 23.3 Capacitors in parallel
  p645/907  SAVED  Chapter 23: Capacitance | Capacitors in parallel
  p646/907  SAVED  Chapter 23: Capacitance | 23.4 Capacitors in series
  p647/907  SAVED  Chapter 23: Capacitance | Capacitors in Series
  p648/907  SAVED  Chapter 23: Capacitance | 23.5 Comparing capacitors and resistors
  p649/907  SAVED  Chapter 23: Capacitance | 23.6 Capacitor networks
  p650/907  SAVED  Chapter 23: Capacitance | Sharing charge, sharing energy
  p651/907  SAVED  Chapter 23: Capacitance | Capacitance of isolated bodies
  p652/907  SKIP  (only 0 words)
  p653/907  SAVED  Chapter 23: Capacitance | 23.7 Charge and discharge of capacitors
  p654/907  SAVED  Chapter 23: Capacitance | Discharging a capacitor and time constant
  p655/907  SKIP  Page contains only a question and reflection, no new teachable content.
  p656/907  SAVED  Chapter 23: Capacitance | Summary
  p657/907  SKIP  Page contains only exam-style questions, no new conceptual teaching content.
  p658/907  SKIP  The page contains only end-of-chapter questions and exercises; no new teaching content or explanations.
  p659/907  SAVED  Chapter 23: Capacitance | Capacitance of an isolated sphere
  p660/907  SKIP  Page contains only exam-style questions, no explanatory content for a teaching unit.
  p661/907  SKIP  Self-evaluation checklist, no new teaching content.
  p662/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | Magnets and currents
  p663/907  SKIP  Chapter introduction page with no teachable content; only a question and statement of chapter contents.
  p664/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | 24.1 Producing and representing magnetic fields
  p665/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | Magnetic field of a long current-carrying wire
  p666/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | Magnetic field direction and rules
  p667/907  SKIP  (only 35 words)
  p668/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | 24.2 Magnetic force
  p669/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | Force on a current-carrying conductor in a magnetic field
  p670/907  SKIP  (only 0 words)
  p671/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | 24.3 Magnetic flux density
  p672/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | 24.4 Measuring magnetic flux density
  p673/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | Measuring B with a current balance
  p674/907  SKIP  Page contains only questions, no teachable concept or explanation.
  p675/907  SKIP  (only 9 words)
  p676/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | 24.5 Currents crossing fields
  p677/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | At an angle other than 90?
  p678/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | 
  p679/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | 24.6 Forces between currents
  p680/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | Force between parallel currents
  p681/907  SKIP  (only 13 words)
  p682/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | 24.7 Relating SI units
  p683/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | 24.8 Comparing forces in magnetic, electric and gravitational fields
  p684/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | 
  p685/907  SKIP  Page contains only exam-style questions without explanatory teaching content.
  p686/907  SKIP  The page contains only exam-style questions (numbers 6, 7, 8) with no explanatory content, worked examples, or conceptual teaching material to structure into a teaching unit.
  p687/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | Force on a current-carrying conductor in a magnetic field
  p688/907  SAVED  Chapter 24: Magnetic fields and electromagnetism | Force on a current-carrying conductor
  p689/907  SKIP  Page contains only a self-evaluation checklist with learning objectives, not teachable content.
  p690/907  SKIP  Page is a chapter introduction with learning intentions and review questions; no new concept explanation or worked example provided.
  p691/907  SKIP  Page contains only chapter introduction and a figure caption; no detailed explanation, equation, or worked example.
  p692/907  SAVED  Chapter 25: Motion of charged particles | 25.1 Observing the force
  p693/907  SAVED  Chapter 25: Motion of charged particles | Magnetic force on a moving charged particle
  p694/907  SAVED  Chapter 25: Motion of charged particles | Magnetic Force on a Moving Charged Particle
  p695/907  SAVED  Chapter 25: Motion of charged particles | Fleming's left-hand rule
  p696/907  SAVED  Chapter 25: Motion of charged particles | 25.2 Orbiting charged particles
  p697/907  SAVED  Chapter 25: Motion of charged particles | The charge-to-mass ratio of an electron
  p698/907  SAVED  Chapter 25: Motion of charged particles | Practical Activity 25.2: The deflection tube
  p699/907  SAVED  Chapter 25: Motion of charged particles | Velocity selector
  p700/907  SAVED  Chapter 25: Motion of charged particles | 25.3 Electric and magnetic fields
  p701/907  SAVED  Chapter 25: Motion of charged particles | 25.4 The Hall effect
  p702/907  SAVED  Chapter 8: that the current I is related to the mean drift velocity v o | 
  p703/907  SAVED  Chapter 8: Current and Drift Velocity | Hall Effect
  p704/907  SAVED  Chapter 25: Electric Fields and the Electron | 25.5 Discovering the electron
  p705/907  SKIP  (only 11 words)
  p706/907  SAVED  Chapter 8: that the current I is related to the mean drift velocity v o | Magnetic Force on Charged Particles
  p707/907  SKIP  Page contains only exam-style questions with no explanatory content or worked examples.
  p708/907  SAVED  Chapter 25: Magnetic Fields | Motion of charged particles in a magnetic field
  p709/907  SKIP  The page contains only exam-style questions without any explanatory text, definitions, or worked examples suitable for a teaching unit.
  p710/907  SAVED  Chapter 8: Current and Drift Velocity | The Hall Effect
  p711/907  SKIP  Page contains only a self-evaluation checklist, not explanatory content.
  p712/907  SAVED  Chapter 26: Electromagnetic induction | 
  p713/907  SKIP  Page contains only introductory text and a figure caption with no substantive teaching content.
  p714/907  SAVED  Chapter 26: Electromagnetic induction | 26.1 Observing induction
  p715/907  SAVED  Chapter 26: Electromagnetic induction | Factors affecting induced e.m.f
  p716/907  SAVED  Chapter 26: Electromagnetic induction | 26.2 Explaining electromagnetic induction
  p717/907  SAVED  Chapter 26: Electromagnetic induction | Current direction (extension)
  p718/907  SAVED  Chapter 26: Electromagnetic induction | Fleming's right-hand rule
  p719/907  SAVED  Chapter 26: Electromagnetic induction | Magnetic flux and magnetic flux linkage
  p720/907  SAVED  Chapter 26: Electromagnetic induction | Magnetic flux and flux linkage
  p721/907  SAVED  Chapter 26: Electromagnetic induction | Magnetic flux and flux linkage
  p722/907  SAVED  Chapter 26: Electromagnetic induction | 
  p723/907  SAVED  Chapter 26: Electromagnetic induction | 26.3 Faraday?s law of electromagnetic induction
  p724/907  SAVED  Chapter 26: Electromagnetic induction | The search coil
  p725/907  SKIP  (only 21 words)
  p726/907  SAVED  Chapter 26: Electromagnetic induction | 26.4 Lenz?s law
  p727/907  SAVED  Chapter 26: Electromagnetic induction | Forces and movement
  p728/907  SAVED  Chapter 26: Electromagnetic induction | Lenz's law
  p729/907  SKIP  Page contains only a key equation heading and end-of-chapter questions; no new conceptual explanation provided.
  p730/907  SAVED  Chapter 26: Electromagnetic induction | 26.5 Everyday examples of electromagnetic induction
  p731/907  SAVED  Chapter 26: Electromagnetic induction | 
  p732/907  SKIP  Page contains only exercises and reflection prompts, no new teaching content.
  p733/907  SAVED  Chapter 26: Electromagnetic induction | 
  p734/907  SKIP  Page contains only exam-style questions, no explanatory content to structure as a teaching unit.
  p735/907  SKIP  Page contains only exam-style questions without explanatory content or worked examples; no teachable material for a lesson unit.
  p736/907  SKIP  Page contains only a problem/exercise (question 26.33) without explanatory text or concept teaching.
  p737/907  SKIP  Page contains only a self-evaluation checklist with no new teachable content or explanations.
  p738/907  SKIP  Page contains only learning intentions and review prompts, no teachable content.
  p739/907  SAVED  Chapter 27: Alternating currents | Describing alternating current
  p740/907  SAVED  Chapter 27: Alternating currents | 27.1 Sinusoidal current
  p741/907  SAVED  Chapter 27: Alternating currents | Parameters of Alternating Current
  p742/907  SAVED  Chapter 27: Alternating currents | 27.2 Alternating voltages
  p743/907  SAVED  Chapter 27: Alternating currents | Measuring frequency and voltage
  p744/907  SAVED  Chapter 27: Alternating currents | Using a Cathode-Ray Oscilloscope (CRO)
  p745/907  SKIP  Page contains only practice problems without solutions or explanatory content.
  p746/907  SAVED  Chapter 27: Alternating currents | 27.3 Power and alternating current
  p747/907  SAVED  Chapter 27: Alternating currents | Calculating power using r.m.s. values
  p748/907  SAVED  Chapter 27: Alternating currents | Average power and r.m.s. values
