Processing: C:\learnova_app\textbooks\F4 Biology.pdf
Subject: MY-Biology  Form: 4  Pages: 11-323 of 323
  p297/323  SAVED  Bab 15: Pembiakan Sel | 15.2.2 Oogenesis
  p298/323  SAVED  Bab 15: Pembiakan | Perbandingan antara Spermatogenesis dan Oogenesis
  p299/323  SAVED  Bab 12: Pembiakan | Kitar Haid
  p300/323  SAVED  Bab 12 | Kitar Haid
  p301/323  SAVED  Bab 15: Perkembangan Manusia | 15.3.1 Kitar Haid
  p302/323  SAVED  Bab 15: Peranan Hormon dalam Pembiakan | Peranan hormon dalam kehamilan dan keguguran
  p303/323  SAVED  Bab 15: Perkembangan Fetus Manusia | 15.4 Persenyawaan dan Perkembangan Awal Embrio
  p304/323  SAVED  Bab 15: Reproduksi, Perkembangan dan Pertumbuhan | Peranan hormon gonadotrofin korion manusia (HCG) dan struktur plasenta
  p305/323  SAVED  Bab 15: Pembiakan dan Perkembangan | Kepentingan plasenta
  p306/323  SAVED  Bab 15: Pembiakan dan Perkembangan | Pembentukan Kembar
  p307/323  SAVED  Bab 15: Variasi | 15.5 Kembar
  p308/323  SAVED  Bab 15: Sistem Pembiakan Manusia | 15.6 Kemandulan
  p309/323  SAVED  Bab 15: Pertumbuhan dalam Manusia dan Haiwan | Pertumbuhan dalam Manusia dan Haiwan
  p310/323  SAVED  Bab 15: Pertumbuhan dan Perkembangan | Metamorfosis Lengkap dan Tidak Lengkap
  p311/323  SAVED  Bab 15: Pertumbuhan | Fasa pertumbuhan dalam lengkung pertumbuhan sigmoid manusia dan haiwan
  p312/323  SAVED  Bab 15: Pertumbuhan | Lengkung pertumbuhan berbentuk tangga bagi haiwan berangka luar
  p313/323  SKIP  Page contains only formative practice questions and chapter summary, no new teachable content.
  p314/323  SKIP  This page contains only a self-reflection checklist and summative practice questions, with no new teachable biology content.
  p315/323  SKIP  The page contains only revision questions and no explanatory teachable content.
  p316/323  SKIP  Page contains only end-of-chapter essay questions and enrichment, no new teachable biology content.
  p317/323  SKIP  Page contains only a glossary of terms, no specific concept to teach.
  p318/323  SKIP  Glossary page with no coherent teaching unit content.
  p319/323  SKIP  The page is a glossary of terms, not a coherent teaching unit with a specific subtopic or concept.
  p320/323  SKIP  The page contains only a list of references, no teachable biology content.
  p321/323  SKIP  (only 11 words)
  p322/323  SKIP  Page contains only textbook ownership and loan forms, no teachable biology content.
  p323/323  SKIP  Page contains the Rukun Negara (national principles) with no biology content.
------------------------------------------------------------
DONE: 248 saved, 65 skipped, 0 errors
Backup: C:\Learnova\MY-Biology_F4_results.json
DONE: 248 saved, 65 skipped, 0 errors
